year,region,total,cerp
1890,all,141000,123000
1931,all,52500,0
1932,all,22500,0
1933,all,207500,0
1934,all,220000,118000
1935,all,5000,0
1936,all,30000,0
1937,all,35000,672
1938,all,3000,0
1939,all,0,0
1940,all,75000,66000
1941,all,70000,0
1946,all,12500,0
1971,enp,933,
1971,wcas,204,
1972,enp,6333,
1972,wcas,17800,
1973,enp,1988,
1973,wcas,16100,
1974,enp,2125,
1974,wcas,8500,
1975,all,28236,22736
1975,enp,6912,
1975,wcas,16729,
1976,enp,3885,
1976,wcas,17600,
1977,enp,2215,
1977,wcas,15300,
1978,enp,1844,
1978,wcas,1800,
1979,enp,6700,
1979,wcas,1050,
1980,enp,2081,
1980,wcas,0,
1981,enp,1321,
1981,wcas,2450,
1982,enp,2183,
1982,wcas,6650,
1986,enp,4231,3245
1986,loxahatchee,1063,534
1986,wca2-3,3417,2593
1986,wcas,4480,3127
1987,enp,1921,1037
1987,loxahatchee,0,0
1987,wca2-3,7772,5735
1987,wcas,7772,5735
1988,enp,3248,2038
1988,loxahatchee,11072,9099
1988,wca2-3,5273,4797
1988,wcas,16345,13896
1989,enp,1384,1109
1989,loxahatchee,0,0
1989,wca2-3,3798,3373
1989,wcas,3798,3373
1990,enp,1481,1167
1990,loxahatchee,4814,4409
1990,wca2-3,644,604
1990,wcas,5458,5013
1991,enp,1928,1785
1991,loxahatchee,2318,481
1991,wca2-3,3099,2230
1991,wcas,5417,2711
1992,enp,1556,1456
1992,loxahatchee,4579,3124
1992,wca2-3,22115,19240
1992,wcas,26694,22364
1993,enp,2550,2000
1993,loxahatchee,1847,550
1993,wca2-3,4405,2927
1993,wcas,6252,3477
1994,enp,1405,1205
1994,loxahatchee,3847,2306
1994,wca2-3,5184,2914
1994,wcas,9031,5220
1995,enp,1440,1390
1995,loxahatchee,4484,2920
1995,wca2-3,6001,4176
1995,wcas,10485,7096
1996,enp,1576,1576
1996,loxahatchee,3363,1647
1996,wca2-3,6199,4478
1996,wcas,9562,6125
1997,enp,747,747
1997,loxahatchee,3480,1688
1997,wca2-3,5989,5138
1997,wcas,9469,6826
1998,enp,632,632
1998,loxahatchee,3227,1716
1998,wca2-3,4954,3740
1998,wcas,8181,5456
1999,enp,1779,1751
1999,loxahatchee,10585,8287
1999,wca2-3,13674,10492
1999,wcas,24259,18779
2000,enp,2622,2607
2000,loxahatchee,2471,1513
2000,wca2-3,29733,27069
2000,wcas,32204,28582
2001,enp,2110,2050
2001,loxahatchee,18717,14814
2001,wca2-3,13144,11042
2001,wcas,31861,25856
